event,gender,clas_s,typ,wind,name,year,position,school,series,mark,points
High Jump,Girls,4,Finals,,Natsuya Chance,14,9,Vere Technical High,"[[], []]",1.50m,0
High Jump,Girls,4,Finals,,Shyanne Smith,14,9,Herbert Morrison,"[[], []]",1.50m,0
High Jump,Girls,4,Finals,,Shauntia Davidson,14,9,Hydel High,"[[], []]",1.50m,0
High Jump,Girls,4,Finals,,Tishawna Daley,14,9,The Queens School,"[[], []]",1.50m,0
High Jump,Girls,4,Finals,,Amelia Vidal,14,13,Manchester High,"[[], []]",1.45m,0
High Jump,Boys,1,Finals,,Christoffe Bryan,14,1,Wolmer's Hig,"[[], []]",2.23mR   9,9
High Jump,Boys,1,Finals,,Clayton Brown,14,2,Jamaica College,"[[], []]",2.13m,7
High Jump,Boys,1,Finals,,Javari Fairclough,14,3,Calabar High,"[[], []]",2.05m,6
High Jump,Boys,1,Finals,,Trevaughn Brown,14,4,Kingston College,"[[], []]",2.00m,5
High Jump,Boys,1,Finals,,Basil Thompson,14,5,Herbert Morrison,"[[], []]",1.95m,4
High Jump,Boys,1,Finals,,Leroy Paige,14,6,Calabar High,"[[], []]",J1.95m,3
High Jump,Boys,1,Finals,,Romario Douglas,14,7,St. Jago High,"[[], []]",J1.95m,2
High Jump,Boys,1,Finals,,Kerone Hughes,14,8,Oberlin High,"[[], []]",J1.95m,1
High Jump,Boys,1,Finals,,Javaune Gordon,14,9,Hydel High,"[[], []]",1.90m,0
High Jump,Boys,1,Finals,,Odel Murphy,14,10,Hydel High,"[[], []]",J1.90m,0
High Jump,Boys,1,Finals,,Kemar Sutherland,14,11,Munro College,"[[], []]",1.85m,0
High Jump,Boys,1,Finals,,Davonne Beckford,14,12,Herbert Morrison,"[[], []]",1.80m,0
Pole Vault,Boys,Open,Finals,,Christopher Mitchell,14,1,Jamaica College,"[[], []]",3.60m,9
Pole Vault,Boys,Open,Finals,,Christopher Bryan,14,2,Kingston College,"[[], []]",3.50m,7
Pole Vault,Boys,Open,Finals,,Akeem Amos,14,3,Calabar High,"[[], []]",J3.50m,6
Pole Vault,Boys,Open,Finals,,Akeem Kerr,14,4,Jamaica College,"[[], []]",J3.50m,5
Pole Vault,Boys,Open,Finals,,Jerome Tucker,14,5,Wolmer's Hig,"[[], []]",3.40m,4
Pole Vault,Boys,Open,Finals,,Tian Cain,14,6,Calabar High,"[[], []]",3.30m,3
Pole Vault,Boys,Open,Finals,,Phillipe Barnett,14,7,Excelsior High,"[[], []]",3.10m,2
Pole Vault,Boys,Open,Finals,,Nickoy Morrison,14,8,Excelsior High,"[[], []]",J3.10m,1
Pole Vault,Boys,Open,Finals,,Franz Arnold,14,9,Kingston College,"[[], []]",2.90m,0
Pole Vault,Boys,Open,Finals,,Ramone Clarke,14,,Mona High,"[[], []]",NH,"['', '', '', 'NH']"
Long Jump,Boys,2,Finals,1.2,Paketo Dudley,15,1,Jamaica College,[],7.21m,9
Long Jump,Boys,2,Finals,-1.1,Dameon Creary,15,2,Wolmer's High,[],6.75m,7
Long Jump,Boys,2,Finals,0.7,Daniel Bogle,15,3,Calabar High,[],6.71m,6
Long Jump,Boys,2,Finals,1.6,Yashawn Hamilton,15,4,Kingston College,[],6.70m,5
Long Jump,Boys,2,Finals,1.1,Shakwon Coke,15,5,St. Andrew Tech,[],6.68m,4
Long Jump,Boys,2,Finals,1.5,Kavouhn Lewars-smi,15,6,Ardenne High,[],J6.68m,3
Long Jump,Boys,2,Finals,-1.4,Ryan Brown,15,7,Old Harbour High,[],6.64m,2
Long Jump,Boys,2,Finals,-1.0,Johni James,15,8,Jamaica College,[],6.49m,1
Long Jump,Boys,2,Finals,2.0,Ashane Beckford,15,9,Glenmuir High,[],6.44m,0
Long Jump,Boys,2,Finals,0.3,Mario Watson,15,10,Oberlin High,[],6.37m,0
Long Jump,Boys,2,Finals,1.1,Ronaldo Malcolm,15,11,Kingston College,[],6.32m,0
Long Jump,Boys,2,Finals,-1.9,Samuel Jordan,15,12,Cedric Titus High,[],5.76m,0
Long Jump,Boys,3,Finals,6.0,Micah Wellington,15,1,Jamaica College,[],6.61m,9
Long Jump,Boys,3,Finals,4.9,Shacquille Lowe,15,2,Kingston College,[],6.57m,7
Long Jump,Boys,3,Finals,4.5,Wayne Pinnock,15,3,Kingston College,[],6.51m,6
Long Jump,Boys,3,Finals,5.5,Derrico Morrison,15,4,St. Jago High,[],6.40m,5
Long Jump,Boys,3,Finals,4.4,Michael Beecher,15,5,Jamaica College,[],5.99m,4
Long Jump,Boys,3,Finals,2.2,Brithton Senior,15,6,Rusea's High,[],5.98m,3
Long Jump,Boys,3,Finals,3.2,Tevin Thompson,15,7,Foga Road High,[],5.94m,2
Long Jump,Boys,3,Finals,4.8,Markell Walker,15,8,Balaclava High,[],5.91m,1
Long Jump,Boys,3,Finals,3.8,Tyrell Johnson,15,9,Calabar High,[],5.89m,0
Long Jump,Boys,3,Finals,5.0,Andrew Shaw,15,10,Calabar High,[],5.67m,0
Long Jump,Boys,3,Finals,4.7,Kimani Mungo,15,11,Belair High,[],5.61m,0
Long Jump,Boys,3,Finals,6.0,Milton Marshall,15,12,Glengoffe High,[],5.52m,0
Long Jump,Girls,1,Finals,0.5,Tamara Moncrieffe,15,1,Holmwood Techn,[],6.25m,9
Long Jump,Girls,1,Finals,1.5,Shanice Lewis,15,2,Edwin Allen High,[],6.21m,7
Long Jump,Girls,1,Finals,1.3,Danique Bryan,15,3,Edwin Allen High,[],5.97m,6
Long Jump,Girls,1,Finals,1.6,Safia Morgan,15,4,Immaculate,[],5.87m,5
Long Jump,Girls,1,Finals,2.1,Annastacia Forrest,15,5,Manchester High,[],5.81m,4
Long Jump,Girls,1,Finals,3.8,Samara Spencer,15,6,Hydel High,[],5.77m,3
Long Jump,Girls,1,Finals,1.4,Shardia Lawrence,15,7,Hydel High,[],5.69m,2
Long Jump,Girls,1,Finals,1.3,Shanique Wright,15,8,Manchester High,[],5.64m,1
Long Jump,Girls,1,Finals,2.8,Ophelia Hales,15,9,St. Andrew Tech,[],5.47m,0
Long Jump,Girls,1,Finals,1.3,Kedijah Oliphant,15,10,Oberlin High,[],5.42m,0
Long Jump,Girls,1,Finals,0.6,Taishia Pryce,15,11,St. Andrew Tech,[],5.38m,0
Long Jump,Girls,1,Finals,2.8,Danicia Grant,15,12,St. Jago High,[],5.31m,0
Long Jump,Girls,1,Finals,3.4,Andriene Rose,15,13,Wolmer's High,[],5.08m,0
Long Jump,Girls,1,Finals,1.2,Brandy Smith,15,14,Vere Technical High,[],4.78m,0
Long Jump,Girls,2,Finals,0.4,Tissanna Hickling,15,1,St. Jago High,[],5.95m,9
Long Jump,Girls,2,Finals,0.6,Trishauna Hemmings,15,2,Glengoffe High,[],5.88m,7
Long Jump,Girls,2,Finals,-0.2,Nhayilla Renteria,15,3,St. Jago High,[],5.73m,6
Long Jump,Girls,2,Finals,-0.1,Yanique Dayle,15,4,Hydel High,[],5.65m,5
Long Jump,Girls,2,Finals,0.4,Isheena Belnavis,15,5,Hydel High,[],5.58m,4
Long Jump,Girls,2,Finals,1.0,Keneva Headley,15,6,Holmwood Techn,[],5.55m,3
Long Jump,Girls,2,Finals,-0.1,Brianna Thomas,15,7,Holmwood Techn,[],5.53m,2
Long Jump,Girls,2,Finals,0.1,Ave-Anna Venair,15,8,Excelsior High,[],5.50m,1
Long Jump,Girls,2,Finals,0.4,Lorean Murray,15,9,St. Andrew High,[],5.09m,0
Long Jump,Girls,2,Finals,1.5,Tanique Cameron,15,10,Edwin Allen High,[],5.06m,0
Long Jump,Girls,2,Finals,0.6,Ashley Mullings,15,11,Ardenne High,[],5.03m,0
Long Jump,Girls,2,Finals,-0.4,Leone Farquharson,15,12,Campion College,[],5.01m,0
Long Jump,Girls,2,Finals,-0.1,Hadiya Gray,15,13,St. Andrew Tech,[],4.92m,0
Long Jump,Girls,3,Finals,3.7,Annia Ashley,15,1,Edwin Allen High,[],5.84m,9
Long Jump,Girls,3,Finals,1.0,Monief Heslop,15,2,Camperdown High,[],5.76m,7
Long Jump,Girls,3,Finals,3.6,Britany Anderson,15,3,Vere Technical High,[],5.70m,6
Long Jump,Girls,3,Finals,7.9,Susan Francis,15,4,Holmwood Techn,[],5.59m,5
Long Jump,Girls,3,Finals,5.3,Lotavia Brown,15,5,Edwin Allen High,[],5.45m,4
Long Jump,Girls,3,Finals,3.8,Adrianna Miller,15,6,St. Elizabeth,[],5.38m,3
Long Jump,Girls,3,Finals,3.4,Jamani Richards,15,7,St. Jago High,[],5.32m,2
Long Jump,Girls,3,Finals,2.9,Natasha Dudley,15,8,Vere Technical High,[],5.13m,1
Long Jump,Girls,3,Finals,7.3,Akeliah Ellis,15,9,Petersfield High,[],5.10m,0
Long Jump,Girls,3,Finals,4.4,Shade Parr,15,10,Hydel High,[],5.09m,0
Long Jump,Girls,3,Finals,2.9,Shanika Roberts,15,11,Camperdown High,[],4.83m,0
Long Jump,Girls,3,Finals,1.4,Ruthanne Mcclymont,15,12,Manchester High,[],4.81m,0
Long Jump,Girls,4,Finals,5.1,Ackelia Smith,15,1,Edwin Allen High,[],5.34m,9
Long Jump,Girls,4,Finals,5.0,Valissa Brown,15,2,Wolmer's High,[],5.30m,7
Long Jump,Girls,4,Finals,1.9,Samantha Jibbson,15,3,Holmwood Techn,[],5.20m,6
Long Jump,Girls,4,Finals,2.0,Nia Robinson,15,4,Rusea's High,[],5.10m,5
Long Jump,Girls,4,Finals,-1.8,Sarah Northover,15,5,St. Andrew High,[],5.00m,4
Long Jump,Girls,4,Finals,4.9,Brittania Ingram,15,6,Edwin Allen High,[],4.95m,3
Long Jump,Girls,4,Finals,1.2,April Boothe,15,7,Hydel High,[],4.87m,2
Long Jump,Girls,4,Finals,5.7,Celena Stewart,15,8,St. Elizabeth,[],4.85m,1
Long Jump,Girls,4,Finals,1.5,Noellea-marie Maso,15,9,Wolmer's High,[],4.82m,0
Long Jump,Girls,4,Finals,0.1,Shantae Foreman,15,10,Excelsior High,[],4.61m,0
Long Jump,Girls,4,Finals,4.7,Theniel Williams,15,10,St. Jago High,[],4.61m,0
Long Jump,Girls,4,Finals,1.5,Shenell Evans,15,12,Convent of Mercy,[],4.52m,0
Long Jump,Girls,4,Finals,2.6,Abigail Blake,15,13,Holy Childhood High,[],4.30m,0
Long Jump,Boys,1,Finals,-0.9,Obrien Wasome,15,1,Jamaica College,[],7.71m,9
Long Jump,Boys,1,Finals,-0.6,Travis Riley,15,2,Calabar High,[],7.40m,7
Long Jump,Boys,1,Finals,-0.1,Alrick Ottey,15,3,Cornwall College,[],7.36m,6
Long Jump,Boys,1,Finals,-0.6,Odaine Lewis,15,4,Cornwall College,[],7.17m,5
Long Jump,Boys,1,Finals,-2.4,Ajani James,15,5,Jamaica College,[],J7.17m,4
Long Jump,Boys,1,Finals,-0.2,Jullane Walker,15,6,Calabar High,[],7.06m,3
Long Jump,Boys,1,Finals,-0.1,Shown-D Thompson,15,7,St. Jago High,[],7.03m,2
Long Jump,Boys,1,Finals,-0.7,Lexux Brown,15,8,St. Elizabeth,[],6.85m,1
Long Jump,Boys,1,Finals,-0.8,Gavin Gibson,15,9,Kingston College,[],6.84m,0
Long Jump,Boys,1,Finals,-1.1,Carlington Moulton,15,10,St. George's,[],6.65m,0
Long Jump,Boys,1,Finals,-0.4,Tasrico Bell,15,10,Vere Technical High,[],6.65m,0
Long Jump,Boys,1,Finals,-0.2,Jordan Scott,15,12,Campion College,[],6.64m,0
Long Jump,Boys,1,Finals,-0.1,Lorne Barrett,15,13,Campion College,[],6.63m,0
Long Jump,Boys,1,Finals,-2.6,Javier Ogilvie,15,14,Wolmer's High,[],6.45m,0
Long Jump,Boys,1,Finals,-0.6,Ouekie Wright,15,15,St. Elizabeth,[],6.40m,0
Long Jump,Boys,1,Finals,-0.3,Daniel Clarke,15,16,Herbert Morrison,[],6.35m,0
Triple Jump,Boys,1,Finals,2.9,Obrien Wasome,15,1,Jamaica College,[],16.24m,9
Triple Jump,Boys,1,Finals,2.0,Clayton Brown,15,2,Jamaica College,[],16.04mR,7
Triple Jump,Boys,1,Finals,2.4,Jordan Scott,15,3,Campion College,[],15.78m,6
Triple Jump,Boys,1,Finals,2.4,Odaine Lewis,15,4,Cornwall College,[],15.63m,5
Triple Jump,Boys,1,Finals,2.4,Javier Lowe,15,5,Calabar High,[],15.60m,4
Triple Jump,Boys,1,Finals,3.8,Travis Riley,15,6,Calabar High,[],J15.60m,3
Triple Jump,Boys,1,Finals,1.0,Errol Ennis,15,7,Kingston College,[],15.38m,2
Triple Jump,Boys,1,Finals,1.0,Alrick Ottey,15,8,Cornwall College,[],15.07m,1
Triple Jump,Boys,1,Finals,1.5,Odel Murphy,15,9,Hydel High,[],14.71m,0
Triple Jump,Boys,1,Finals,3.7,Lexux Brown,15,10,St. Elizabeth,[],14.51m,0
Triple Jump,Boys,1,Finals,3.9,Shown-D Thompson,15,11,St. Jago High,[],14.46m,0
Triple Jump,Boys,1,Finals,1.7,Ouekie Wright,15,12,St. Elizabeth,[],13.91m,0
Triple Jump,Boys,1,Finals,0.3,Gavin Montaque,15,13,St. Mary High,[],13.85m,0
Triple Jump,Boys,1,Finals,3.1,Rashid Allen,15,14,Manchester High,[],13.63m,0
Triple Jump,Boys,1,Finals,1.0,Carey Mcleod,15,15,Garvey Maceo High,[],13.39m,0
Triple Jump,Girls,Open,Finals,6.8,Tamara Moncrieffe,15,1,Holmwood Techn,[],13.92m,9
Triple Jump,Girls,Open,Finals,2.1,Shardia Lawrence,15,2,Hydel High,[],13.14m,7
Triple Jump,Girls,Open,Finals,3.0,Shanique Wright,15,3,Manchester High,[],12.92m,6
Triple Jump,Girls,Open,Finals,2.5,Danique Bryan,15,4,Edwin Allen High,[],12.80m,5
Triple Jump,Girls,Open,Finals,2.6,Nhayilla Renteria,15,5,St. Jago High,[],12.53m,4
Triple Jump,Girls,Open,Finals,7.2,Latavia Coombs,15,6,Holmwood Techn,[],12.46m,3
Triple Jump,Girls,Open,Finals,3.7,Danielle Spence,15,7,Wolmer's High,[],12.34m,2
Triple Jump,Girls,Open,Finals,0.1,Britny Kerr,15,8,Hydel High,[],12.23m,1
Triple Jump,Girls,Open,Finals,4.7,Lorean Murray,15,9,St. Andrew High,[],12.15m,0
Triple Jump,Girls,Open,Finals,2.1,Hanifah Abdulqadir,15,10,St. Jago High,[],12.01m,0
Triple Jump,Girls,Open,Finals,1.0,Shennare Williams,15,11,Vere Technical High,[],11.83m,0
Triple Jump,Girls,Open,Finals,0.6,Sharzan Richards,15,12,Manchester High,[],11.60m,0
Triple Jump,Girls,Open,Finals,0.7,Ave-Anna Venair,15,13,Excelsior High,[],11.48m,0
Triple Jump,Girls,Open,Finals,4.2,Lotavia Brown,15,14,Edwin Allen High,[],11.47m,0
Triple Jump,Girls,Open,Finals,4.2,Fiona Barnes,15,15,Vere Technical High,[],11.42m,0
Triple Jump,Girls,Open,Finals,2.5,Myesha Nott,15,16,Rusea's High,[],11.29m,0
Triple Jump,Girls,Open,Finals,4.3,Karisiah Green,15,17,St. Elizabeth,[],11.23m,0
Triple Jump,Girls,Open,Finals,FOUL,Romae Quarrie,15,,Campion College,[],FOUL,"['', '', '', 'FOUL']"
Triple Jump,Girls,Open,Finals,FOUL,Ramoya Grandison,15,,Wolmer's High,[],FOUL,"['', 'FOUL']"
Triple Jump,Boys,2,Finals,-0.3,Paketo Dudley,15,1,Jamaica College,[],14.51m,9
Triple Jump,Boys,2,Finals,-0.4,Lushane Wilson,15,2,St. Jago High,[],14.24m,7
Triple Jump,Boys,2,Finals,-0.9,Devonte Bancroft,15,3,Kingston College,[],14.01m,6
Triple Jump,Boys,2,Finals,0.1,Dameon Creary,15,4,Wolmer's High,[],13.99m,5
Triple Jump,Boys,2,Finals,-1.1,Daniel Allen,15,5,Calabar High,[],13.62m,4
Triple Jump,Boys,2,Finals,-0.1,Joel Morgan,15,6,Excelsior High,[],13.50m,3
Triple Jump,Boys,2,Finals,-0.5,Joshua Smickle,15,7,Camperdown High,[],13.47m,2
Triple Jump,Boys,2,Finals,-0.3,Safin Wills,15,8,Jamaica College,[],13.44m,1
Triple Jump,Boys,2,Finals,-1.2,Owayne Owens,15,9,Cornwall College,[],13.37m,0
Triple Jump,Boys,2,Finals,0.1,Terrol Wilson,15,10,Kingston College,[],13.27m,0
Triple Jump,Boys,2,Finals,-1.3,Kristoffe Clifford,15,11,Calabar High,[],13.19m,0
Triple Jump,Boys,2,Finals,-0.2,Kobe-jordan Rhooms,15,11,Cornwall College,[],13.19m,0
Triple Jump,Boys,2,Finals,-1.0,Shemar Miller,15,13,St. Elizabeth,[],12.97m,0
Triple Jump,Boys,2,Finals,-0.5,Kevon Bennett,15,14,St. Elizabeth,[],12.91m,0
Triple Jump,Boys,2,Finals,-1.4,Ansel Gray,15,15,Petersfield High,[],12.48m,0
Triple Jump,Boys,2,Finals,-0.7,Phillipe Barnett,15,16,Excelsior High,[],12.47m,0
Triple Jump,Boys,2,Finals,-0.2,Keyshan Davis,15,17,St. Jago High,[],12.18m,0
Triple Jump,Boys,2,Finals,0.1,Shevaughn Allen,15,18,Green Pond High,[],12.01m,0
Shot Put,Boys,1,Finals,,Demar Gayle,15,1,Edwin Allen High,[],19.52mR,9
Shot Put,Boys,1,Finals,,Warren Barrett,15,2,Calabar High,[],18.75m,7
Shot Put,Boys,1,Finals,,Sanjae Lawrence,15,3,Petersfield High,[],17.74m,6
Shot Put,Boys,1,Finals,,E Campbel,15,4,Cornwall College,[],17.13m,5
Shot Put,Boys,1,Finals,,Stevon Crooks,15,5,Petersfield High,[],16.26m,4
Shot Put,Boys,1,Finals,,Jason Stephenson,15,6,Jamaica College,[],16.20m,3
Shot Put,Boys,1,Finals,,Caesar Kemp,15,7,Calabar High,[],16.00m,2
Shot Put,Boys,1,Finals,,Jonhoi Clarke,15,8,Cornwall College,[],15.26m,1
Shot Put,Boys,1,Finals,,Karl-Leon Grant,15,9,Jamaica College,[],15.08m,0
Shot Put,Boys,1,Finals,,Andre Hendricks,15,10,Munro College,[],14.86m,0
Shot Put,Boys,1,Finals,,Rajindra Campbell,15,11,Kingston College,[],14.52m,0
Shot Put,Boys,1,Finals,,Javon Smith,15,12,Spaldings High,[],13.86m,0
Shot Put,Boys,1,Finals,,Alroy Williams,15,13,Edwin Allen High,[],13.70m,0
Shot Put,Boys,1,Finals,,Michael Daley,15,14,Lacovia High,[],13.19m,0
Shot Put,Boys,1,Finals,,Daniel Walker,15,15,Excelsior High,[],13.00m,0
Shot Put,Boys,1,Finals,,Andre Garvey,15,16,Excelsior High,[],12.75m,0
Shot Put,Boys,1,Finals,,Tyrik Sewell,15,17,Morant Bay High,[],12.74m,0
Shot Put,Boys,1,Finals,,Antorie Mcfarlane,15,18,Camperdown High,[],11.63m,0
Shot Put,Boys,1,Finals,,Jamie-hugh Brown,15,,Kingston College,[],FOUL,"['', '', 'FOUL']"
Shot Put,Boys,1,Finals,,Kyle Mitchell,15,,Wolmer's High,[],FOUL,"['', 'FOUL']"
Shot Put,Boys,2,Finals,,Rasheeda Downer,15,1,Kingston College,[],16.47m,9
Shot Put,Boys,2,Finals,,Andre Chin,15,2,Calabar High,[],15.53m,7
Shot Put,Boys,2,Finals,,Savion Burke,15,3,Calabar High,[],15.10m,6
Shot Put,Boys,2,Finals,,Dohnarris Stewart,15,4,Kingston College,[],14.93m,5
Shot Put,Boys,2,Finals,,Zico Campbell,15,5,Glenmuir High,[],14.36m,4
Shot Put,Boys,2,Finals,,Cobe Graham,15,6,Meadowbrook High,[],14.15m,3
Shot Put,Boys,2,Finals,,Moses Parkinson,15,7,Titchfield High,[],14.09m,2
Shot Put,Boys,2,Finals,,Daniel Cope,15,8,Petersfield High,[],13.90m,1
Shot Put,Boys,2,Finals,,Coby-malcolm Mitch,15,9,Jamaica College,[],13.13m,0
Shot Put,Boys,2,Finals,,Devar Clayton,15,10,Petersfield High,[],13.06m,0
Shot Put,Boys,2,Finals,,Orlando Crawford,15,11,Cornwall College,[],12.78m,0
Shot Put,Boys,2,Finals,,Danree Delancey,15,,Munro College,[],FOUL,"['', 'FOUL']"
Shot Put,Girls,2,Finals,,Fiona Richards,15,1,Buff Bay High,[],15.21m,9
Shot Put,Girls,2,Finals,,Devia Brown,15,2,Hydel High,[],15.05m,7
Shot Put,Girls,2,Finals,,Sahjay Stevens,15,3,St. Elizabeth,[],14.95m,6
Shot Put,Girls,2,Finals,,Kadian Clarke,15,4,Immaculate,[],14.63m,5
Shot Put,Girls,2,Finals,,Yanike Henry,15,5,St. Jago High,[],13.97m,4
Shot Put,Girls,2,Finals,,Ashley Jarman,15,6,Convent of Mercy,[],13.63m,3
Shot Put,Girls,2,Finals,,Coya Christie,15,7,Wolmer's High,[],13.30m,2
Shot Put,Girls,2,Finals,,Quteann Robb,15,8,St. Jago High,[],13.07m,1
Shot Put,Girls,2,Finals,,Georgetta Samuels,15,9,Holmwood Techn,[],12.82m,0
Shot Put,Girls,2,Finals,,ann May,15,10,Holmwood Techn,[],12.72m,0
Shot Put,Girls,2,Finals,,Rochelle-Ann Baile,15,11,Edwin Allen High,[],12.48m,0
Shot Put,Girls,2,Finals,,Avery Pryce,15,12,Vere Technical High,[],12.43m,0
Shot Put,Girls,2,Finals,,Bryanna Thompson,15,13,Excelsior High,[],11.36m,0
Shot Put,Girls,2,Finals,,Gabrielle Bailey,15,14,St. Andrew High,[],10.82m,0
Shot Put,Girls,1,Finals,,Ayesha Champagnie,15,1,St. Andrew Tech,[],14.27mR,9
Shot Put,Girls,1,Finals,,Rochelle Frazer,15,2,Edwin Allen High,[],14.01mR,7
Shot Put,Girls,1,Finals,,Janell Fullerton,15,3,Edwin Allen High,[],13.50m,6
Shot Put,Girls,1,Finals,,Kiona Bradshaw,15,4,Vere Technical High,[],12.90m,5
Shot Put,Girls,1,Finals,,Nayoka Clunis,15,5,Excelsior High,[],J12.90m,4
Shot Put,Girls,1,Finals,,Latifah Smith,15,6,Excelsior High,[],12.56m,3
Shot Put,Girls,1,Finals,,gay Johnson,15,7,St. Jago High,[],12.28m,2
Shot Put,Girls,1,Finals,,Georgia Myrie,15,8,Mona High,[],11.31m,1
Shot Put,Girls,1,Finals,,Tavia Dixon,15,9,Spaldings High,[],11.29m,0
Shot Put,Girls,1,Finals,,Rashida Elliott,15,10,Holmwood Techn,[],11.21m,0
Shot Put,Girls,1,Finals,,Taneika Elliston,15,11,Holmwood Techn,[],11.12m,0
Shot Put,Girls,1,Finals,,Tracey-Ann Simms,15,12,St. Jago High,[],10.86m,0
Shot Put,Girls,1,Finals,,Shadae Lawrence,15,13,Hydel High,[],10.54m,0
Shot Put,Girls,1,Finals,,Venique Harris,15,14,Ardenne High,[],9.83m,0
Discus Throw,Boys,1,Finals,,Demar Gayle,15,1,Edwin Allen High,[],50.70m,9
Discus Throw,Boys,1,Finals,,Warren Barrett,15,2,Calabar High,[],49.95m,7
Discus Throw,Boys,1,Finals,,Sanjae Lawrence,15,3,Petersfield High,[],49.65m,6
Discus Throw,Boys,1,Finals,,Rajindra Campbell,15,4,Kingston College,[],49.48m,5
Discus Throw,Boys,1,Finals,,Stevon Crooks,15,5,Petersfield High,[],49.36m,4
Discus Throw,Boys,1,Finals,,Ronald Hasting,15,6,Calabar High,[],48.40m,3
Discus Throw,Boys,1,Finals,,Mickel Hudson,15,7,Kingston College,[],48.01m,2
Discus Throw,Boys,1,Finals,,Jason Stephenson,15,8,Jamaica College,[],47.55m,1
Discus Throw,Boys,1,Finals,,Kyle Mitchell,15,9,Wolmer's High,[],45.85m,0
Discus Throw,Boys,1,Finals,,Malik Lynch,15,10,Wolmer's High,[],44.62m,0
Discus Throw,Boys,1,Finals,,Vikarie Elliott,15,11,Munro College,[],44.38m,0
Discus Throw,Boys,1,Finals,,Daniel Walker,15,12,Excelsior High,[],44.03m,0
Discus Throw,Boys,1,Finals,,Karl-Leon Grant,15,13,Jamaica College,[],43.34m,0
Discus Throw,Boys,1,Finals,,Rickardo Witter,15,14,St. Jago High,[],42.92m,0
Discus Throw,Boys,1,Finals,,E Campbel,15,15,Cornwall College,[],42.10m,0
Discus Throw,Boys,1,Finals,,Derrick Spencer,15,16,Hydel High,[],42.01m,0
Discus Throw,Boys,1,Finals,,Rojive Smith,15,17,Mona High,[],41.58m,0
Discus Throw,Boys,1,Finals,,Andre Garvey,15,18,Excelsior High,[],40.84m,0
Discus Throw,Boys,1,Finals,,Jordan Tucker,15,19,Morant Bay High,[],38.42m,0
Discus Throw,Boys,1,Finals,,Adam Greensword,15,,St. Elizabeth,[],FOUL,"['', 'FOUL']"
Discus Throw,Boys,2,Finals,,Rasheeda Downer,15,1,Kingston College,[],50.93m,9
Discus Throw,Boys,2,Finals,,Daniel Cope,15,2,Petersfield High,[],46.90m,7
Discus Throw,Boys,2,Finals,,Danree Delancey,15,3,Munro College,[],44.74m,6
Discus Throw,Boys,2,Finals,,Savion Burke,15,4,Calabar High,[],44.64m,5
Discus Throw,Boys,2,Finals,,Devar Clayton,15,5,Petersfield High,[],44.11m,4
Discus Throw,Boys,2,Finals,,Andre Chin,15,6,Calabar High,[],42.83m,3
Discus Throw,Boys,2,Finals,,Coby-malcolm Mitch,15,7,Jamaica College,[],41.22m,2
Discus Throw,Boys,2,Finals,,Khumaldy Reid,15,8,Jamaica College,[],40.66m,1
Discus Throw,Boys,2,Finals,,Moses Parkinson,15,9,Titchfield High,[],36.48m,0
Discus Throw,Boys,2,Finals,,Desmond Brown,15,10,St. Mary High,[],34.14m,0
Discus Throw,Boys,2,Finals,,Phillipe Barnett,15,,Excelsior High,[],FOUL,['FOUL']
Discus Throw,Boys,2,Finals,,Dohnarris Stewart,15,,Kingston College,[],FOUL,"['', '', 'FOUL']"
Discus Throw,Girls,1,Finals,,Shadae Lawrence,15,1,Hydel High,[],48.66m,9
Discus Throw,Girls,1,Finals,,Shanice Love,15,2,Excelsior High,[],48.01m,7
Discus Throw,Girls,1,Finals,,Paul-Ann Gayle,15,3,Edwin Allen High,[],47.87m,6
Discus Throw,Girls,1,Finals,,Rochelle Frazer,15,4,Edwin Allen High,[],46.63m,5
Discus Throw,Girls,1,Finals,,Kiona Bradshaw,15,5,Vere Technical High,[],43.66m,4
Discus Throw,Girls,1,Finals,,Nayoka Clunis,15,6,Excelsior High,[],40.44m,3
Discus Throw,Girls,1,Finals,,Venique Harris,15,7,Ardenne High,[],39.76m,2
Discus Throw,Girls,1,Finals,,Aliyah Francis,15,8,St. Hugh's High,[],37.97m,1
Discus Throw,Girls,1,Finals,,Taneika Elliston,15,9,Holmwood Techn,[],35.38m,0
Discus Throw,Girls,1,Finals,,Tavia Dixon,15,10,Spaldings High,[],35.25m,0
Discus Throw,Girls,1,Finals,,Tasheka Johnson,15,11,Clarendon College,[],27.74m,0
Discus Throw,Girls,1,Finals,,Jelemi Peart,15,,Holmwood Techn,[],FOUL,['FOUL']
Discus Throw,Girls,2,Finals,,Fiona Richards,15,1,Buff Bay High,[],42.37m,9
Discus Throw,Girls,2,Finals,,Shyledeen Smith,15,2,Petersfield High,[],42.29m,7
Discus Throw,Girls,2,Finals,,Avery Pryce,15,3,Vere Technical High,[],40.79m,6
Discus Throw,Girls,2,Finals,,Joel Robinson,15,4,Hydel High,[],40.29m,5
Discus Throw,Girls,2,Finals,,Devia Brown,15,5,Hydel High,[],39.03m,4
Discus Throw,Girls,2,Finals,,Yanike Henry,15,6,St. Jago High,[],37.93m,3
Discus Throw,Girls,2,Finals,,Kerrayne Fray,15,7,St. Andrew High,[],36.82m,2
Discus Throw,Girls,2,Finals,,Rochelle-Ann Baile,15,8,Edwin Allen High,[],36.72m,1
Discus Throw,Girls,2,Finals,,Georgetta Samuels,15,9,Holmwood Techn,[],35.95m,0
